,NewDate,# of RFpred==1,# of RFpred==0,# of RFpred==-1,# of SVMpred==1,# of SVMpred==0,# of SVMpred==-1
62,120,6,3,0,4,5,0
63,121,4,6,0,4,6,0
64,122,1,5,0,0,6,0
65,123,3,2,0,3,2,0
66,124,5,9,0,6,8,0
67,125,7,6,0,7,6,0
68,126,5,3,0,7,1,0
69,127,3,4,0,4,3,0
70,128,6,9,0,9,6,0
71,129,5,3,0,5,3,0
72,130,1,5,0,3,3,0
73,131,0,3,0,0,3,0
74,132,3,4,0,6,1,0
75,133,2,3,0,2,3,0
76,134,2,3,0,2,3,0
77,135,1,2,0,2,1,0
78,136,7,6,0,5,8,0
79,137,4,3,0,5,2,0
80,138,1,5,0,1,5,0
81,139,11,2,0,8,5,0
82,140,3,4,0,2,5,0
83,141,2,4,0,1,5,0
84,142,3,4,0,5,2,0
85,143,11,3,0,10,4,0
86,144,3,7,0,5,5,0
87,145,3,6,0,5,4,0
88,146,6,0,0,4,2,0
89,147,1,5,0,1,5,0
90,148,5,4,0,5,4,0
91,149,6,2,0,5,3,0
92,150,0,3,0,0,3,0
93,151,0,2,0,1,1,0
94,152,0,3,0,1,2,0
95,153,3,3,0,2,4,0
96,154,3,3,0,1,5,0
97,155,9,1,0,6,4,0
98,156,1,4,0,1,4,0
99,157,6,3,0,5,4,0
100,158,3,5,0,5,3,0
101,159,2,10,0,4,8,0
102,160,7,2,0,7,2,0
103,161,2,2,0,1,3,0
104,162,1,4,0,2,3,0
105,163,5,3,0,2,6,0
106,164,6,3,0,4,5,0
107,165,8,1,0,6,3,0
108,166,3,5,0,5,3,0
109,167,2,8,0,3,7,0
110,168,3,7,0,3,7,0
111,169,2,9,0,6,5,0
112,170,2,7,0,3,6,0
113,171,1,4,0,1,4,0
114,172,5,11,0,6,10,0
115,173,3,7,0,6,4,0
116,174,0,2,0,0,2,0
117,175,1,6,0,4,3,0
118,176,6,6,0,6,6,0
119,177,13,8,0,10,11,0
120,178,7,8,0,6,9,0
121,179,2,7,0,5,4,0
122,180,6,8,0,7,7,0
123,181,2,3,0,2,3,0
124,182,6,7,0,9,4,0
125,183,1,4,0,0,5,0
126,184,2,4,0,3,3,0
127,185,9,4,0,9,4,0
128,186,0,5,0,1,4,0
129,187,3,6,0,5,4,0
130,188,2,4,0,1,5,0
131,189,1,6,0,2,5,0
132,190,1,6,0,2,5,0
133,191,3,4,0,3,4,0
134,192,2,4,0,2,4,0
135,193,0,7,0,4,3,0
136,194,5,7,0,6,6,0
137,195,0,4,0,1,3,0
138,196,6,4,0,7,3,0
139,197,2,7,0,4,5,0
140,198,1,4,0,2,3,0
141,199,4,1,0,2,3,0
142,200,1,6,0,0,7,0
143,201,0,3,0,0,3,0
144,202,2,6,0,2,6,0
145,203,3,4,0,3,4,0
146,204,0,5,0,2,3,0
147,205,0,6,0,1,5,0
148,206,0,7,0,1,6,0
149,207,1,7,0,1,7,0
150,208,1,5,0,1,5,0
151,209,1,9,0,2,8,0
152,210,0,7,0,0,7,0
153,211,1,7,0,2,6,0
154,212,1,5,0,1,5,0
155,213,1,4,0,1,4,0
156,214,5,4,0,6,3,0
157,215,0,6,0,2,4,0
158,216,1,5,0,2,4,0
159,217,3,6,0,4,5,0
160,218,1,5,0,1,5,0
161,219,0,5,0,0,5,0
162,220,2,2,0,0,4,0
163,221,3,4,0,2,5,0
164,222,1,3,0,1,3,0
165,223,3,7,0,6,4,0
166,224,6,7,0,7,6,0
167,225,2,6,0,3,5,0
168,226,1,6,0,4,3,0
169,227,0,3,0,0,3,0
170,228,5,2,0,4,3,0
171,229,13,6,0,12,7,0
172,230,1,6,0,3,4,0
173,231,1,5,0,3,3,0
174,232,1,5,0,2,4,0
175,233,0,7,0,2,5,0
176,234,3,5,0,3,5,0
177,235,1,6,0,1,6,0
178,236,3,4,0,2,5,0
179,237,1,2,0,1,2,0
180,238,3,8,0,4,7,0
181,239,3,10,0,5,8,0
182,240,1,6,0,3,4,0
183,241,1,4,0,1,4,0
184,242,1,5,0,2,4,0
185,243,0,5,0,2,3,0
186,244,10,2,0,8,4,0
187,245,4,7,0,5,6,0
188,246,0,3,0,1,2,0
189,247,5,1,0,4,2,0
190,248,6,4,0,8,2,0
191,249,4,6,0,5,5,0
192,250,3,2,0,3,2,0
193,251,4,4,0,2,6,0
194,252,3,3,0,4,2,0
195,253,2,5,0,3,4,0
196,254,3,5,0,3,5,0
197,255,14,4,0,15,3,0
198,256,4,5,0,5,4,0
199,257,0,5,0,1,4,0
200,258,4,5,0,6,3,0
201,259,5,3,0,5,3,0
202,260,9,4,0,11,2,0
203,261,5,6,0,6,5,0
204,262,4,4,0,6,2,0
205,263,2,6,0,6,2,0
206,264,2,3,0,2,3,0
207,265,4,3,0,5,2,0
208,266,8,0,0,6,2,0
209,267,8,8,0,9,7,0
210,268,4,6,0,7,3,0
211,269,1,5,0,3,3,0
212,270,1,3,0,2,2,0
213,271,3,6,0,3,6,0
214,272,4,4,0,4,4,0
215,273,8,3,0,9,2,0
216,274,6,7,0,9,4,0
217,275,4,5,0,4,5,0
218,276,3,0,0,2,1,0
219,277,2,3,0,3,2,0
220,278,6,4,0,5,5,0
221,279,1,3,0,2,2,0
222,280,9,5,0,9,5,0
223,281,3,4,0,3,4,0
224,282,1,4,0,1,4,0
225,283,4,3,0,4,3,0
226,284,2,2,0,1,3,0
227,285,5,10,0,5,10,0
228,286,3,4,0,2,5,0
229,287,1,3,0,2,2,0
230,288,2,1,0,1,2,0
231,289,1,4,0,1,4,0
232,290,2,6,0,4,4,0
233,291,5,2,0,4,3,0
234,292,2,4,0,3,3,0
235,293,0,4,0,1,3,0
236,294,7,7,0,6,8,0
237,295,2,4,0,2,4,0
238,296,5,4,0,7,2,0
239,297,1,3,0,1,3,0
240,298,0,4,0,0,4,0
241,299,1,1,0,0,2,0
242,300,4,3,0,5,2,0
243,301,1,3,0,1,3,0
244,302,4,2,0,6,0,0
245,303,4,3,0,3,4,0
246,304,7,6,0,8,5,0
247,305,0,3,0,1,2,0
248,306,0,4,0,0,4,0
249,307,0,3,0,0,3,0
250,308,8,5,0,8,5,0
251,309,8,6,0,6,8,0
252,310,3,5,0,2,6,0
253,311,0,4,0,1,3,0
254,312,3,3,0,2,4,0
255,313,2,6,0,2,6,0
256,314,1,5,0,2,4,0
257,315,1,4,0,2,3,0
258,316,6,3,0,5,4,0
259,317,2,4,0,4,2,0
260,318,--,--,--,--,--,--
261,319,--,--,--,--,--,--
262,320,6,0,0,2,4,0
263,321,2,4,0,3,3,0
264,322,0,8,0,2,6,0
265,323,3,3,0,3,3,0
266,324,4,2,0,3,3,0
267,325,4,5,0,3,6,0
268,326,2,6,0,3,5,0
269,327,3,10,0,7,6,0
270,328,3,3,0,2,4,0
271,329,4,6,0,7,3,0
272,330,5,6,0,3,8,0
273,331,2,3,0,1,4,0
274,332,2,7,0,2,7,0
275,333,1,1,0,0,2,0
276,334,2,3,0,2,3,0
277,335,2,6,0,3,5,0
278,336,4,1,0,3,2,0
279,337,5,3,0,6,2,0
280,338,5,1,0,4,2,0
281,339,8,3,0,5,6,0
282,340,3,2,0,1,4,0
283,341,12,1,0,10,3,0
284,342,11,1,0,10,2,0
285,343,5,1,0,4,2,0
286,344,11,4,0,10,5,0
287,345,5,4,0,5,4,0
288,346,5,3,0,5,3,0
289,347,6,5,0,4,7,0
290,348,4,5,0,5,4,0
291,349,3,4,0,2,5,0
292,350,2,4,0,1,5,0
293,351,4,0,0,1,3,0
294,352,6,4,0,6,4,0
295,353,2,4,0,2,4,0
296,354,9,3,0,6,6,0
297,355,3,4,0,4,3,0
298,356,8,5,0,7,6,0
299,357,16,3,0,11,8,0
300,358,18,4,0,11,11,0
301,359,8,4,0,4,8,0
302,360,6,10,0,5,11,0
303,361,7,4,0,5,6,0
304,362,4,5,0,2,7,0
305,363,5,8,0,7,6,0
306,364,4,7,0,5,6,0
307,365,6,4,0,4,6,0
308,366,5,5,0,4,6,0
309,367,3,8,0,6,5,0
310,368,4,6,0,2,8,0
311,369,2,7,0,6,3,0
312,370,2,3,0,1,4,0
313,371,4,1,0,3,2,0
314,372,4,5,0,3,6,0
315,373,4,2,0,3,3,0
316,374,2,2,0,2,2,0
317,375,0,2,0,0,2,0
318,376,2,6,0,4,4,0
319,377,3,3,0,4,2,0
320,378,8,1,0,4,5,0
321,379,2,3,0,3,2,0
322,380,3,3,0,2,4,0
323,381,2,2,0,2,2,0
324,382,4,5,0,4,5,0
325,383,6,4,0,5,5,0
326,384,2,3,0,2,3,0
327,385,3,2,0,1,4,0
328,386,0,5,0,1,4,0
329,387,4,5,0,3,6,0
330,388,8,4,0,9,3,0
331,389,5,5,0,6,4,0
332,390,1,6,0,4,3,0
333,391,4,12,0,5,11,0
334,392,2,6,0,2,6,0
335,393,0,4,0,0,4,0
336,394,2,4,0,2,4,0
337,395,0,6,0,2,4,0
338,396,1,2,0,1,2,0
339,397,6,6,0,6,6,0
340,398,2,5,0,2,5,0
341,399,0,3,0,0,3,0
342,400,3,3,0,4,2,0
343,401,1,4,0,1,4,0
344,402,4,6,0,6,4,0
345,403,0,6,0,1,5,0
346,404,3,4,0,4,3,0
347,405,1,2,0,0,3,0
348,406,4,7,0,7,4,0
349,407,4,6,0,5,5,0
350,408,3,5,0,2,6,0
351,409,4,2,0,2,4,0
352,410,3,3,0,3,3,0
353,411,1,6,0,0,7,0
